MUNICIPIO;PRECIO_VENTA_M2;PRECIO_ALQUILER_M2;ANYO
Adeje;4463;16.0;2022
Adeje;3012;14.9;2021
Adeje;3655;13.6;2020
Adeje;3656;12.9;2019
Adeje;3656;12.4;2018
Adeje;3656;11.5;2017
Arafo;2294;9.2;2022
Arafo;2372;9.0;2021
Arafo;1821;9.1;2020
Arafo;1986;8.6;2019
Arafo;1631;7.7;2018
Arafo;1658;6.6;2017
Arico;1571;9.2;2022
Arico;1571;9.0;2021
Arico;1571;9.1;2020
Arico;1571;8.6;2019
Arico;1571;7.7;2018
Arico;1571;6.6;2017
Arona;2395;13.9;2022
Arona;2271;9.9;2021
Arona;2444;11.3;2020
Arona;2348;11.6;2019
Arona;2025;10.8;2018
Arona;1806;10.2;2017
Buenavista del Norte;2294;9.2;2022
Buenavista del Norte;2372;9.0;2021
Buenavista del Norte;1821;9.1;2020
Buenavista del Norte;1986;8.6;2019
Buenavista del Norte;1631;7.7;2018
Buenavista del Norte;1658;6.6;2017
Candelaria;2746;9.2;2022
Candelaria;2746;9.0;2021
Candelaria;2746;9.1;2020
Candelaria;2746;8.6;2019
Candelaria;2746;7.7;2018
Candelaria;2746;6.6;2017
Fasnia;2294;9.2;2022
Fasnia;2372;9.0;2021
Fasnia;1821;9.1;2020
Fasnia;1986;8.6;2019
Fasnia;1631;7.7;2018
Fasnia;1658;6.6;2017
Garachico;2294;9.2;2022
Garachico;2372;9.0;2021
Garachico;1821;9.1;2020
Garachico;1986;8.6;2019
Garachico;1631;7.7;2018
Garachico;1658;6.6;2017
Granadilla de Abona;2718;8.6;2022
Granadilla de Abona;1829;8.3;2021
Granadilla de Abona;3541;9.3;2020
Granadilla de Abona;1667;8.9;2019
Granadilla de Abona;2119;8.6;2018
Granadilla de Abona;2119;6.6;2017
La Guancha;2294;9.2;2022
La Guancha;2372;9.0;2021
La Guancha;1821;9.1;2020
La Guancha;1986;8.6;2019
La Guancha;1631;7.7;2018
La Guancha;1658;6.6;2017
Guía de Isora;2928;9.2;2022
Guía de Isora;6089;9.0;2021
Guía de Isora;1760;9.1;2020
Guía de Isora;1954;8.6;2019
Guía de Isora;1954;7.7;2018
Guía de Isora;1954;6.6;2017
Güímar;1739;8.6;2022
Güímar;1265;8.3;2021
Güímar;2100;8.2;2020
Güímar;547;7.5;2019
Güímar;547;7.5;2018
Güímar;547;6.8;2017
Icod de los Vinos;987;9.2;2022
Icod de los Vinos;1511;9.0;2021
Icod de los Vinos;984;9.1;2020
Icod de los Vinos;1449;8.6;2019
Icod de los Vinos;971;7.7;2018
Icod de los Vinos;971;6.6;2017
La Matanza de Acentejo;1097;9.2;2022
La Matanza de Acentejo;1097;9.0;2021
La Matanza de Acentejo;1097;9.1;2020
La Matanza de Acentejo;1097;8.6;2019
La Matanza de Acentejo;1097;7.7;2018
La Matanza de Acentejo;1097;6.6;2017
La Orotava;1403;6.5;2022
La Orotava;3620;6.9;2021
La Orotava;1654;6.6;2020
La Orotava;1654;6.7;2019
La Orotava;2926;5.5;2018
La Orotava;1667;4.9;2017
Puerto de la Cruz;2590;11.1;2022
Puerto de la Cruz;2339;10.7;2021
Puerto de la Cruz;3077;10.7;2020
Puerto de la Cruz;2339;9.9;2019
Puerto de la Cruz;2339;9.5;2018
Puerto de la Cruz;2339;8.8;2017
Los Realejos;1318;7.5;2022
Los Realejos;1185;6.6;2021
Los Realejos;1155;7.0;2020
Los Realejos;972;6.4;2019
Los Realejos;841;6.7;2018
Los Realejos;1230;5.4;2017
El Rosario;1699;9.3;2022
El Rosario;1667;9.1;2021
El Rosario;1626;7.6;2020
El Rosario;1347;7.3;2019
El Rosario;1347;6.7;2018
El Rosario;1347;6.2;2017
San Cristóbal de La Laguna;1287;7.7;2022
San Cristóbal de La Laguna;1225;7.6;2021
San Cristóbal de La Laguna;1237;7.5;2020
San Cristóbal de La Laguna;1206;6.8;2019
San Cristóbal de La Laguna;1128;6.4;2018
San Cristóbal de La Laguna;1108;5.6;2017
San Juan de la Rambla;939;9.2;2022
San Juan de la Rambla;739;9.0;2021
San Juan de la Rambla;801;9.1;2020
San Juan de la Rambla;899;8.6;2019
San Juan de la Rambla;904;7.7;2018
San Juan de la Rambla;987;6.6;2017
San Miguel de Abona;1999;9.0;2022
San Miguel de Abona;1848;8.7;2021
San Miguel de Abona;1875;9.1;2020
San Miguel de Abona;1717;8.8;2019
San Miguel de Abona;1526;8.7;2018
San Miguel de Abona;1346;7.5;2017
Santa Cruz de Tenerife;1464;9.1;2022
Santa Cruz de Tenerife;1521;8.4;2021
Santa Cruz de Tenerife;1478;8.3;2020
Santa Cruz de Tenerife;1320;7.9;2019
Santa Cruz de Tenerife;1240;7.5;2018
Santa Cruz de Tenerife;1234;6.5;2017
Santa Úrsula;1561;6.7;2022
Santa Úrsula;1359;6.5;2021
Santa Úrsula;1328;6.8;2020
Santa Úrsula;1352;7.2;2019
Santa Úrsula;1296;6.8;2018
Santa Úrsula;1249;6.2;2017
Santiago del Teide;2151;9.2;2022
Santiago del Teide;2118;9.0;2021
Santiago del Teide;2150;9.1;2020
Santiago del Teide;2159;8.6;2019
Santiago del Teide;1768;7.7;2018
Santiago del Teide;1671;6.6;2017
El Sauzal;1630;9.2;2022
El Sauzal;1460;9.0;2021
El Sauzal;1326;9.1;2020
El Sauzal;1377;8.6;2019
El Sauzal;1312;7.7;2018
El Sauzal;1250;6.6;2017
Los Silos;1146;9.2;2022
Los Silos;1139;9.0;2021
Los Silos;1209;9.1;2020
Los Silos;1035;8.6;2019
Los Silos;1035;7.7;2018
Los Silos;1035;6.6;2017
Tacoronte;1349;8.2;2022
Tacoronte;1302;7.4;2021
Tacoronte;1312;7.6;2020
Tacoronte;1244;7.2;2019
Tacoronte;1185;6.0;2018
Tacoronte;1214;5.5;2017
El Tanque;921;9.2;2022
El Tanque;814;9.0;2021
El Tanque;814;9.1;2020
El Tanque;814;8.6;2019
El Tanque;814;7.7;2018
El Tanque;814;6.6;2017
Tegueste;1441;9.2;2022
Tegueste;1355;9.0;2021
Tegueste;1296;9.1;2020
Tegueste;1292;8.6;2019
Tegueste;1265;7.7;2018
Tegueste;1207;6.6;2017
La Victoria de Acentejo;1168;9.2;2022
La Victoria de Acentejo;1276;9.0;2021
La Victoria de Acentejo;1213;9.1;2020
La Victoria de Acentejo;1121;8.6;2019
La Victoria de Acentejo;1124;7.7;2018
La Victoria de Acentejo;1179;6.6;2017
Vilaflor de Chasna;2294;9.2;2022
Vilaflor de Chasna;2372;9.0;2021
Vilaflor de Chasna;1821;9.1;2020
Vilaflor de Chasna;1986;8.6;2019
Vilaflor de Chasna;1631;7.7;2018
Vilaflor de Chasna;1658;6.6;2017
